item,itemLabel,image,article,aar,imageAuthor,imageLicense,imageLicenseUrl
"http://www.wikidata.org/entity/Q14330","Diplodocus","http://commons.wikimedia.org/wiki/Special:FilePath/Diplodocus%20carnegiei.jpg","https://nn.wikipedia.org/wiki/Diplodocus","1878","Gunnar Ries Amphibol","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q17581455","Dreadnoughtus","http://commons.wikimedia.org/wiki/Special:FilePath/Dreadnoughtus%20scale.png","https://no.wikipedia.org/wiki/Dreadnoughtus_schrani","2014","Matthew Martyniuk","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q245262","Edmontonia","http://commons.wikimedia.org/wiki/Special:FilePath/Edmontonia%20mount.jpg","https://nn.wikipedia.org/wiki/Edmontonia","1928","Kabacchi","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q309466","Edmontosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Anatotitan%20BW.jpg","https://no.wikipedia.org/wiki/Edmontosaurus","1917","Nobu Tamura ( http://spinops.blogspot.com )","CC BY 2.5","https://creativecommons.org/licenses/by/2.5"
"http://www.wikidata.org/entity/Q132611","Eotriceratops","http://commons.wikimedia.org/wiki/Special:FilePath/Eotriceratops%20BW.jpg","https://no.wikipedia.org/wiki/Eotriceratops","","Nobu Tamura ( http://spinops.blogspot.com )","CC BY 3.0","https://creativecommons.org/licenses/by/3.0"
"http://www.wikidata.org/entity/Q1994612","Epanterias","http://commons.wikimedia.org/wiki/Special:FilePath/Epanterias%20huesos.jpg","https://no.wikipedia.org/wiki/Epanterias","","Levi B. Martinez-Reza","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q130885","Euoplocephalus","http://commons.wikimedia.org/wiki/Special:FilePath/Euoplocephalus%20BW%20transparent.png","https://no.wikipedia.org/wiki/Euoplocephalus","1910","Nobu Tamura ( http://spinops.blogspot.com )","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q309467","Gallimimus","http://commons.wikimedia.org/wiki/Special:FilePath/Gallimimus%201%20NHM3.jpg","https://no.wikipedia.org/wiki/Gallimimus","1972","Original uploader was Firsfron at en.wikipedia","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q14438","Giganotosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Giganotos%20Db.jpg","https://no.wikipedia.org/wiki/Giganotosaurus","1995","Dmitry Bogdanov","Public domain",""
"http://www.wikidata.org/entity/Q40752","Gorgosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Gorgosaurus.jpg","https://no.wikipedia.org/wiki/Gorgosaurus","1914","William Diller Matthew / Barnum Brown","Public domain",""
"http://www.wikidata.org/entity/Q733644","Hesperornis","http://commons.wikimedia.org/wiki/Special:FilePath/Hesperornis%20BW%20%28white%20background%29.jpg","https://no.wikipedia.org/wiki/Hesperornis","1872","Nobu Tamura ( http://spinops.blogspot.com )","CC BY 3.0","https://creativecommons.org/licenses/by/3.0"
"http://www.wikidata.org/entity/Q18510952","Hypsilophodon","http://commons.wikimedia.org/wiki/Special:FilePath/Hypsilophodon%20foxii%201.jpg","https://no.wikipedia.org/wiki/Hypsilophodon","1869","Ghedoghedo","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q130980","Iguanodon","http://commons.wikimedia.org/wiki/Special:FilePath/Iguanodon%20Dinopark.jpg","https://no.wikipedia.org/wiki/Iguanodon","1825","Marcus Ringer","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q132683","Lambeosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Lambeosaurus%20lambei.jpg","https://no.wikipedia.org/wiki/Lambeosaurus","1923","Ryan Somma","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"http://www.wikidata.org/entity/Q15137014","Lythronax","http://commons.wikimedia.org/wiki/Special:FilePath/Journal.pone.0079420.g001.tif","https://no.wikipedia.org/wiki/Lythronax","2013","Diagrams by Scott Hartman, published by Mark A. Loewen, Randall B. Irmis, Joseph J. W. Sertich, Philip J. Currie, Scott D. Sampson","CC BY 2.5","https://creativecommons.org/licenses/by/2.5"
"http://www.wikidata.org/entity/Q18511009","Majungasaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Majungasaurus%20SBU%20right.jpg","https://nn.wikipedia.org/wiki/Majungasaurus","1955","Skye McDavid","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"
"http://www.wikidata.org/entity/Q131038","Mamenchisaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Mamenchisaurus%20hochuanensis%20sauropod%20dinosaur%20%28Shangshaximiao%20Formation%2C%20Upper%20Jurassic%3B%20Gushushan%2C%20NW%20of%20Hechuan%2C%20southwestern%20Chongqing%20Municipality%2C%20south-central%20China%29%202%20%2815407361402%29.jpg","https://no.wikipedia.org/wiki/Mamenchisaurus","","James St. John","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q191339","Massospondylus","http://commons.wikimedia.org/wiki/Special:FilePath/Massospondylus%201%20NHM2.jpg","https://nn.wikipedia.org/wiki/Massospondylus","1854","Photograph by User:Ballista Image edited in Adobe PhotoShop by User:Firsfron","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q131056","Megalosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Megalosaurus%200289.JPG","https://no.wikipedia.org/wiki/Megalosaurus","1824","Conty","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q131540","Megaraptor","http://commons.wikimedia.org/wiki/Special:FilePath/Megaraptor%20mount.jpg","https://no.wikipedia.org/wiki/Megaraptor","","ケラトプスユウタ","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q131070","Oviraptor","http://commons.wikimedia.org/wiki/Special:FilePath/Oviraptor%20Restoration.png","https://no.wikipedia.org/wiki/Oviraptor","1924","PaleoNeolitic","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"
"http://www.wikidata.org/entity/Q14455","Pachycephalosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Pachycephalosaurus%20skull.JPG","https://no.wikipedia.org/wiki/Pachycephalosaurus","1943","Credit to - user Ballista from the English wikipedia.","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q131568","Pachyrhinosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Pachyrhinosaurus%20Perotorum%20Alaska%20copyright%20web.jpg","https://no.wikipedia.org/wiki/Pachyrhinosaurus","1950","James havens","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q203583","Parasaurolophus","http://commons.wikimedia.org/wiki/Special:FilePath/Parasaurolophus%20cyrtocristatus.jpg","https://no.wikipedia.org/wiki/Parasaurolophus","1922","Lisa Andres from Riverside, USA","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q131046","Plateosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Plateo%20Leiden.JPG","https://no.wikipedia.org/wiki/Plateosaurus","1837","Eduard Solà","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q14506","Protoceratops","http://commons.wikimedia.org/wiki/Special:FilePath/Carnegie%20Protoceratops%20andrewsi.jpg","https://no.wikipedia.org/wiki/Protoceratops","1923","Karen","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q131717","Raptorex","http://commons.wikimedia.org/wiki/Special:FilePath/Raptorex%20Head.jpg","https://no.wikipedia.org/wiki/Raptorex","2009","★Kumiko★ from Tokyo, Japan","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"http://www.wikidata.org/entity/Q131111","Saltasaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Saltasaurus%20dinosaur.png","https://no.wikipedia.org/wiki/Saltasaurus","","LadyofHats Altered by Steveoc 86 and FunkMonk","Public domain",""
"http://www.wikidata.org/entity/Q131216","Saurophaganax","http://commons.wikimedia.org/wiki/Special:FilePath/Saurophaganax%20%282%29.jpg","https://no.wikipedia.org/wiki/Saurophaganax","1995","Carpenter, Kenneth","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q18862","Scelidosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Scelidosaurus%20harrisonii%20%281%29.jpg","https://nn.wikipedia.org/wiki/Scelidosaurus","1860","5of7","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"http://www.wikidata.org/entity/Q130966","Spinosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/FSAC-KK-11888.jpg","https://no.wikipedia.org/wiki/Spinosaurus","1915","3blindMies","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q14388","Stegosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Journal.pone.0138352.g001A.jpg","https://nn.wikipedia.org/wiki/Stegosaurus","1877","Susannah Maidment et al. & Natural History Museum, London","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"
"http://www.wikidata.org/entity/Q131161","Stygimoloch","http://commons.wikimedia.org/wiki/Special:FilePath/Lebka%20stygimolocha.jpg","https://no.wikipedia.org/wiki/Stygimoloch","","Meridas (Vladimír Socha)","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q14483","Styracosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Styracosaurus%20albertensis%20skull%2002.jpg","https://no.wikipedia.org/wiki/Styracosaurus","1913","Claire Houck from New York City, USA","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"http://www.wikidata.org/entity/Q131202","Suchomimus","http://commons.wikimedia.org/wiki/Special:FilePath/CCM%20Suchomimus%202018.jpg","https://no.wikipedia.org/wiki/Suchomimus","1998","Zissoudisctrucker","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q131177","Supersaurus","http://commons.wikimedia.org/wiki/Special:FilePath/James%20A.%20Jensen.jpg","https://no.wikipedia.org/wiki/Supersaurus","1985","The original uploader was Doctorjrj at English Wikipedia .","Public domain",""
"http://www.wikidata.org/entity/Q2491","Tarbosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Tarbosaurus%20Restoration.png","https://no.wikipedia.org/wiki/Tarbosaurus","1955","PaleoNeolitic","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"
"http://www.wikidata.org/entity/Q131537","Torvosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Complete%20skeleton%20of%20Torvosaurus.jpg","https://no.wikipedia.org/wiki/Torvosaurus","1979","★Kumiko★","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"http://www.wikidata.org/entity/Q14384","Triceratops","http://commons.wikimedia.org/wiki/Special:FilePath/LA-Triceratops%20mount-2.jpg","https://no.wikipedia.org/wiki/Triceratops","1889","Source: Allie_Caulfield Derivative: User:MathKnight","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q131043","Troodon","http://commons.wikimedia.org/wiki/Special:FilePath/The%20Childrens%20Museum%20of%20Indianapolis%20-%20Troodon%20teeth.jpg","https://no.wikipedia.org/wiki/Troodon","1856","","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q131193","Utahraptor","http://commons.wikimedia.org/wiki/Special:FilePath/BYU%20Utahraptor%20skeletal%20mount.jpg","https://no.wikipedia.org/wiki/Utahraptor","1993","Jaren Wilkey","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q14403","Velociraptor","http://commons.wikimedia.org/wiki/Special:FilePath/Velociraptor%20skeleton%20white%20background.jpg","https://nn.wikipedia.org/wiki/Velociraptor","1924","Eduard Solà Vázquez","CC BY 3.0","https://creativecommons.org/licenses/by/3.0"
