item,itemLabel,image,article,opphavsland,opphavslandLabel
"http://www.wikidata.org/entity/Q24946983","Akhuni","http://commons.wikimedia.org/wiki/Special:FilePath/Naga%20Smoked%20Pork%20with%20Axone%20%28Fermented%20Soyabeans%29.jpg","https://en.wikipedia.org/wiki/Akhuni","",""
"http://www.wikidata.org/entity/Q96371762","Aligue fried rice","http://commons.wikimedia.org/wiki/Special:FilePath/Aligue%20Rice%20%283027103485%29.jpg","https://en.wikipedia.org/wiki/Aligue_fried_rice","",""
"http://www.wikidata.org/entity/Q127433632","Alivongvong","http://commons.wikimedia.org/wiki/Special:FilePath/Stall%20at%20Taipei%20Expo%20Farmer%27s%20Market%20selling%20Indigenous%20Taiwanese%20food%2020260207.jpg","https://en.wikipedia.org/wiki/Alivongvong","http://www.wikidata.org/entity/Q22502","Taiwan"
"http://www.wikidata.org/entity/Q11957646","Amagermad","http://commons.wikimedia.org/wiki/Special:FilePath/Amagermad.jpg","https://no.wikipedia.org/wiki/Amagermad","",""
"http://www.wikidata.org/entity/Q4739207","Amala","http://commons.wikimedia.org/wiki/Special:FilePath/Amala%20and%20Abula.jpg","https://en.wikipedia.org/wiki/Amala_(food)","http://www.wikidata.org/entity/Q1033","Nigeria"
"http://www.wikidata.org/entity/Q997633","amatriciana sauce","http://commons.wikimedia.org/wiki/Special:FilePath/Bucatini%20amatriciana%20Roma%202019.jpg","https://en.wikipedia.org/wiki/Amatriciana_sauce","http://www.wikidata.org/entity/Q38","Italia"
"http://www.wikidata.org/entity/Q107489664","Amiwô","http://commons.wikimedia.org/wiki/Special:FilePath/Un%20plats%20d%27amiwo%20au%20poisson%20au%20benin.jpg","https://en.wikipedia.org/wiki/Amiwo","http://www.wikidata.org/entity/Q962","Benin"
"http://www.wikidata.org/entity/Q481774","amuse-bouche","http://commons.wikimedia.org/wiki/Special:FilePath/Parmesan%20Pannacotta%20-%20Amuse%20Bouche%20-%20Lake%20House%20Restaurant%2C%20Daylesford.jpg","https://no.wikipedia.org/wiki/Amuse-bouche","http://www.wikidata.org/entity/Q142","Frankrike"
"http://www.wikidata.org/entity/Q2548021","appam","http://commons.wikimedia.org/wiki/Special:FilePath/Paalappam.JPG","https://en.wikipedia.org/wiki/Appam","http://www.wikidata.org/entity/Q668","India"
"http://www.wikidata.org/entity/Q11113287","Arem-Arem","http://commons.wikimedia.org/wiki/Special:FilePath/Arem-arem.JPG","https://en.wikipedia.org/wiki/Arem-arem","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q642702","Arepa","http://commons.wikimedia.org/wiki/Special:FilePath/Arepitas%20Food%20Macro.jpg","https://no.wikipedia.org/wiki/Arepa","http://www.wikidata.org/entity/Q717","Venezuela"
"http://www.wikidata.org/entity/Q12808559","Arnavut ciğeri","http://commons.wikimedia.org/wiki/Special:FilePath/Albanian%20liver.jpg","https://en.wikipedia.org/wiki/Arnavut_ci%C4%9Feri","http://www.wikidata.org/entity/Q43","Tyrkia"
"http://www.wikidata.org/entity/Q3462362","Arròs a banda","http://commons.wikimedia.org/wiki/Special:FilePath/Arroz%20a%20banda.jpg","https://en.wikipedia.org/wiki/Arr%C3%B2s_a_banda","",""
"http://www.wikidata.org/entity/Q4796545","Arsik","http://commons.wikimedia.org/wiki/Special:FilePath/Arsik%20Ikan%20Mas%202.jpg","https://en.wikipedia.org/wiki/Arsik","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q4803469","asam pedas","http://commons.wikimedia.org/wiki/Special:FilePath/Ikan%20Asam%20Padeh%20Padang.jpg","https://en.wikipedia.org/wiki/Asam_pedas","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q122999857","Asaro","http://commons.wikimedia.org/wiki/Special:FilePath/Yam%20porridge%20or%20%C3%80s%C3%A1r%C3%B3.jpg","https://en.wikipedia.org/wiki/Asaro_(food)","http://www.wikidata.org/entity/Q945","Togo"
"http://www.wikidata.org/entity/Q136922","aşure","http://commons.wikimedia.org/wiki/Special:FilePath/A%C5%9Fure%20%281%29%20%28cropped%29.JPG","https://en.wikipedia.org/wiki/Ashure","http://www.wikidata.org/entity/Q269678","ancient Near East"
"http://www.wikidata.org/entity/Q951525","Avial","http://commons.wikimedia.org/wiki/Special:FilePath/Aviyal%2CKerala%20cuisine.jpg","https://en.wikipedia.org/wiki/Avial","http://www.wikidata.org/entity/Q668","India"
"http://www.wikidata.org/entity/Q16836245","Ayam goreng","http://commons.wikimedia.org/wiki/Special:FilePath/Ayam%20goreng%20%282%29.JPG","https://en.wikipedia.org/wiki/Ayam_goreng","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q17998502","ayam goreng Kalasan","http://commons.wikimedia.org/wiki/Special:FilePath/Ayam%20goreng%20kalasan.JPG","https://en.wikipedia.org/wiki/Ayam_goreng_kalasan","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q85744456","Ayam kodok","http://commons.wikimedia.org/wiki/Special:FilePath/Ayam%20kodok%20batavia.jpg","https://en.wikipedia.org/wiki/Ayam_kodok","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q28163731","Ayam masak kicap","http://commons.wikimedia.org/wiki/Special:FilePath/Ayam%20masak%20kicap.jpg","https://en.wikipedia.org/wiki/Ayam_kecap","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q2428787","ayam Taliwang","http://commons.wikimedia.org/wiki/Special:FilePath/Ayam%20bakar%20khas%20Taliwang%202.JPG","https://en.wikipedia.org/wiki/Ayam_Taliwang","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q192892","ayran","http://commons.wikimedia.org/wiki/Special:FilePath/Fresh%20ayran.jpg","https://nn.wikipedia.org/wiki/Ayran","http://www.wikidata.org/entity/Q43","Tyrkia"
"http://www.wikidata.org/entity/Q4833788","B.C. roll","http://commons.wikimedia.org/wiki/Special:FilePath/BC%20Roll.jpg","https://en.wikipedia.org/wiki/B.C._roll","http://www.wikidata.org/entity/Q16","Canada"
"http://www.wikidata.org/entity/Q65117391","Babbouche","http://commons.wikimedia.org/wiki/Special:FilePath/Snail%20dish%20in%20Marrakesh%201.jpg","https://en.wikipedia.org/wiki/Babbouche","http://www.wikidata.org/entity/Q1028","Marokko"
"http://www.wikidata.org/entity/Q28163754","babi kecap","http://commons.wikimedia.org/wiki/Special:FilePath/Babi%20kecap%201.jpg","https://en.wikipedia.org/wiki/Babi_kecap","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q63228690","baccalà mantecato","http://commons.wikimedia.org/wiki/Special:FilePath/%22%2013%20-%20ITALY%20-%20Cicchetti%20Venetian%20cuisine%20appetizers%20restaurant%20%28%20not%20are%20tapas%20are%20ciccheti%20of%20Venice%29%20in%20this%20pics%20Baccal%C3%A0%20mantecato%20%28Cod%29.jpg","https://en.wikipedia.org/wiki/Baccal%C3%A0_mantecato","http://www.wikidata.org/entity/Q38","Italia"
"http://www.wikidata.org/entity/Q389574","Backhendl","http://commons.wikimedia.org/wiki/Special:FilePath/Backhendl%20mit%20Salat-01.jpg","https://en.wikipedia.org/wiki/Backhendl","",""
"http://www.wikidata.org/entity/Q2879351","Bai ye","http://commons.wikimedia.org/wiki/Special:FilePath/Stuffed%20bai%20ye%20%2826134207061%29.jpg","https://no.wikipedia.org/wiki/Bai_ye","http://www.wikidata.org/entity/Q148","Kina"
"http://www.wikidata.org/entity/Q138011108","Baked beans pizza","http://commons.wikimedia.org/wiki/Special:FilePath/Slice%20Of%20Baked%20Beans%20Pizza.jpg","https://en.wikipedia.org/wiki/Baked_beans_pizza","",""
"http://www.wikidata.org/entity/Q187495","Baklava","http://commons.wikimedia.org/wiki/Special:FilePath/Baklava%281%29.png","https://nn.wikipedia.org/wiki/Baklava","http://www.wikidata.org/entity/Q12560","Det osmanske rike"
"http://www.wikidata.org/entity/Q1293258","bakmi","http://commons.wikimedia.org/wiki/Special:FilePath/Bakmi%20Bangka%202.jpg","https://en.wikipedia.org/wiki/Bakmi","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q16241452","Bakpia","http://commons.wikimedia.org/wiki/Special:FilePath/Bakpia%20pathok.jpg","https://en.wikipedia.org/wiki/Bakpia","http://www.wikidata.org/entity/Q148","Kina"
"http://www.wikidata.org/entity/Q18948079","Bakskuld","http://commons.wikimedia.org/wiki/Special:FilePath/Bakskuld.JPG","https://no.wikipedia.org/wiki/Bakskuld","",""
"http://www.wikidata.org/entity/Q4208144","bakwan","http://commons.wikimedia.org/wiki/Special:FilePath/Cabbage%20fritters%20gorengan.JPG","https://en.wikipedia.org/wiki/Bakwan","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q12473662","balado","http://commons.wikimedia.org/wiki/Special:FilePath/Talua%20balado.JPG","https://en.wikipedia.org/wiki/Balado_(food)","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q572275","Balkenbrij","http://commons.wikimedia.org/wiki/Special:FilePath/Balkenbrij%20niet%20gebakken.jpg","https://en.wikipedia.org/wiki/Balkenbrij","http://www.wikidata.org/entity/Q55","Nederland"
"http://www.wikidata.org/entity/Q106653772","Balparmak tatlısı","http://commons.wikimedia.org/wiki/Special:FilePath/Parmak%20Tatl%C4%B1s%C4%B1.JPG","https://en.wikipedia.org/wiki/Balparmak_tatl%C4%B1s%C4%B1","",""
"http://www.wikidata.org/entity/Q1083840","balti","http://commons.wikimedia.org/wiki/Special:FilePath/Balti%20gosht.jpg","https://en.wikipedia.org/wiki/Balti_(food)","",""
"http://www.wikidata.org/entity/Q1349413","Bamba","http://commons.wikimedia.org/wiki/Special:FilePath/Peanuts%20maize%20chips%202.jpg","https://en.wikipedia.org/wiki/Bamba_(snack)","http://www.wikidata.org/entity/Q801","Israel"
"http://www.wikidata.org/entity/Q107323701","Banga rice","http://commons.wikimedia.org/wiki/Special:FilePath/Banga%20rice.jpg","https://en.wikipedia.org/wiki/Banga_rice","http://www.wikidata.org/entity/Q1033","Nigeria"
"http://www.wikidata.org/entity/Q564271","bánh bao","http://commons.wikimedia.org/wiki/Special:FilePath/Banhbao.jpg","https://en.wikipedia.org/wiki/B%C3%A1nh_bao","http://www.wikidata.org/entity/Q881","Vietnam"
"http://www.wikidata.org/entity/Q5004794","bánh bèo","http://commons.wikimedia.org/wiki/Special:FilePath/Rice%20flour%20cake%20with%20shrimp%20-%20Vietnam%20Kitchen%2C%20Louisville%2C%20KY%20%282011-05-28%20by%20Navin75%29.jpg","https://en.wikipedia.org/wiki/B%C3%A1nh_b%C3%A8o","http://www.wikidata.org/entity/Q881","Vietnam"
"http://www.wikidata.org/entity/Q5004800","bánh cáy","http://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A1nh%20c%C3%A1y.JPG","https://en.wikipedia.org/wiki/B%C3%A1nh_c%C3%A1y","http://www.wikidata.org/entity/Q881","Vietnam"
"http://www.wikidata.org/entity/Q564567","bánh chưng","http://commons.wikimedia.org/wiki/Special:FilePath/Banh%20chung%20vuong.jpg","https://en.wikipedia.org/wiki/B%C3%A1nh_ch%C6%B0ng","http://www.wikidata.org/entity/Q881","Vietnam"
"http://www.wikidata.org/entity/Q48880901","bánh đậu xanh","http://commons.wikimedia.org/wiki/Special:FilePath/Banh%20dau%20xanh.jpg","https://en.wikipedia.org/wiki/B%C3%A1nh_%C4%91%E1%BA%ADu_xanh","http://www.wikidata.org/entity/Q881","Vietnam"
"http://www.wikidata.org/entity/Q10742207","bánh giày","http://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A1nh%20gi%E1%BA%A7y%20gi%C3%B2.JPG","https://en.wikipedia.org/wiki/B%C3%A1nh_gi%E1%BA%A7y","",""
"http://www.wikidata.org/entity/Q5004810","bánh rế","http://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A1nh%20r%E1%BA%BF%20v%C3%A0ng.jpg","https://en.wikipedia.org/wiki/B%C3%A1nh_r%E1%BA%BF","http://www.wikidata.org/entity/Q881","Vietnam"
"http://www.wikidata.org/entity/Q5004813","banh tet","http://commons.wikimedia.org/wiki/Special:FilePath/Banh%20tet.jpg","https://en.wikipedia.org/wiki/B%C3%A1nh_t%C3%A9t","http://www.wikidata.org/entity/Q881","Vietnam"
"http://www.wikidata.org/entity/Q123124821","Bannu Pulao","http://commons.wikimedia.org/wiki/Special:FilePath/Bannu%20Gull%20Beeff%20Pulao.jpg","https://en.wikipedia.org/wiki/Bannu_pulao","",""
"http://www.wikidata.org/entity/Q2317875","basbousa","http://commons.wikimedia.org/wiki/Special:FilePath/Basboosa.jpg","https://en.wikipedia.org/wiki/Basbousa","http://www.wikidata.org/entity/Q79","Egypt"
"http://www.wikidata.org/entity/Q534420","Bauernfrühstück","http://commons.wikimedia.org/wiki/Special:FilePath/Bauernfr%C3%BChst%C3%BCck-01.jpg","https://en.wikipedia.org/wiki/Bauernfr%C3%BChst%C3%BCck","http://www.wikidata.org/entity/Q183","Tyskland"
"http://www.wikidata.org/entity/Q4164571","bazeen","http://commons.wikimedia.org/wiki/Special:FilePath/Bazin.jpg","https://en.wikipedia.org/wiki/Bazin_(bread)","http://www.wikidata.org/entity/Q1016","Libya"
"http://www.wikidata.org/entity/Q124053312","Bazirou","http://commons.wikimedia.org/wiki/Special:FilePath/Bazirou%20above%20rice%20at%20Chao%20Yi%20Xing%2C%20Caoqiao%2C%20Beijing%20%2820231209134804%29.jpg","https://en.wikipedia.org/wiki/Bazirou","",""
"http://www.wikidata.org/entity/Q4876265","bean pie","http://commons.wikimedia.org/wiki/Special:FilePath/Bean%20pie%20recipe.jpg","https://en.wikipedia.org/wiki/Bean_pie","http://www.wikidata.org/entity/Q30","USA"
"http://www.wikidata.org/entity/Q107416756","beans and corn porridge","http://commons.wikimedia.org/wiki/Special:FilePath/Beans%20and%20Corn%20%28maize%29%20porridge.jpg","https://en.wikipedia.org/wiki/Adalu_(food)","http://www.wikidata.org/entity/Q1033","Nigeria"
"http://www.wikidata.org/entity/Q133270012","beans on toast","http://commons.wikimedia.org/wiki/Special:FilePath/-2021-12-02%20Beans%20on%20toast%2C%20Trimingham%2C%20Norfolk.JPG","https://en.wikipedia.org/wiki/Beans_on_toast","",""
"http://www.wikidata.org/entity/Q64358326","beef and broccoli","http://commons.wikimedia.org/wiki/Special:FilePath/Broccoli%20beef%20in%20hoisin%20sauce%20%284667228610%29.jpg","https://en.wikipedia.org/wiki/Beef_and_broccoli","http://www.wikidata.org/entity/Q30","USA"
"http://www.wikidata.org/entity/Q62271704","Belgian waffle","http://commons.wikimedia.org/wiki/Special:FilePath/Waffle%20with%20strawberries%20and%20confectioner%27s%20sugar.jpg","https://en.wikipedia.org/wiki/Belgian_waffle","http://www.wikidata.org/entity/Q31","Belgia"
"http://www.wikidata.org/entity/Q2897203","berkoukes","http://commons.wikimedia.org/wiki/Special:FilePath/Berkoukes.jpg","https://en.wikipedia.org/wiki/Berkoukes_(dish)","",""
"http://www.wikidata.org/entity/Q824592","Berner Platte","http://commons.wikimedia.org/wiki/Special:FilePath/Berner%20Platte%2C%202010.jpg","https://en.wikipedia.org/wiki/Berner_Platte","",""
"http://www.wikidata.org/entity/Q4899060","betutu","http://commons.wikimedia.org/wiki/Special:FilePath/Bebek%20tutu.jpg","https://en.wikipedia.org/wiki/Betutu","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q26806341","beyran","http://commons.wikimedia.org/wiki/Special:FilePath/Beyran%20%28details%29.jpg","https://en.wikipedia.org/wiki/Beyran_soup","http://www.wikidata.org/entity/Q43","Tyrkia"
"http://www.wikidata.org/entity/Q24906665","Bhendi fry","http://commons.wikimedia.org/wiki/Special:FilePath/Bhindi%20Masala.jpg","https://en.wikipedia.org/wiki/Bhindi_fry","http://www.wikidata.org/entity/Q60140","Det indiske subkontinent"
"http://www.wikidata.org/entity/Q213105","Biangbiangnudler","http://commons.wikimedia.org/wiki/Special:FilePath/Biang%20Biang%20Mian.jpg","https://no.wikipedia.org/wiki/Biangbiangnudler","http://www.wikidata.org/entity/Q148","Kina"
"http://www.wikidata.org/entity/Q16498169","Bibikkan","http://commons.wikimedia.org/wiki/Special:FilePath/Bibikkan.jpg","https://en.wikipedia.org/wiki/Bibikkan","http://www.wikidata.org/entity/Q854","Sri Lanka"
"http://www.wikidata.org/entity/Q648352","bibimbap","http://commons.wikimedia.org/wiki/Special:FilePath/Korean.food-Bibimbap-02.jpg","https://no.wikipedia.org/wiki/Bibimbap","http://www.wikidata.org/entity/Q18097","Korea"
"http://www.wikidata.org/entity/Q6088454","bici bici","http://commons.wikimedia.org/wiki/Special:FilePath/Bici%20bici.jpg","https://en.wikipedia.org/wiki/Bici_bici","http://www.wikidata.org/entity/Q43","Tyrkia"
"http://www.wikidata.org/entity/Q17750349","biffsnadder","http://commons.wikimedia.org/wiki/Special:FilePath/Biffsnadder.jpg","https://no.wikipedia.org/wiki/Biffsnadder","",""
"http://www.wikidata.org/entity/Q598222","bigos","http://commons.wikimedia.org/wiki/Special:FilePath/Bigos%20in%20Krak%C3%B3w%20%28Rynek%20G%C5%82%C3%B3wny%29.jpg","https://nn.wikipedia.org/wiki/Bigos","http://www.wikidata.org/entity/Q36","Polen"
"http://www.wikidata.org/entity/Q4907305","bika ambon","http://commons.wikimedia.org/wiki/Special:FilePath/Kue%20bika%20ambon.JPG","https://en.wikipedia.org/wiki/Bika_ambon","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q10964995","Bingka","http://commons.wikimedia.org/wiki/Special:FilePath/Bingka%20Tapai.jpg","https://en.wikipedia.org/wiki/Kue_bingka","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q19724350","binte biluhuta","http://commons.wikimedia.org/wiki/Special:FilePath/Binte%20Biluhuta.jpg","https://en.wikipedia.org/wiki/Binte_biluhuta","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q12476406","bir pletok","http://commons.wikimedia.org/wiki/Special:FilePath/Bir%20Pletok.JPG","https://en.wikipedia.org/wiki/Bir_pletok","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q271555","Biryani","http://commons.wikimedia.org/wiki/Special:FilePath/Dum%20Biryani%20Plate.jpg","https://nn.wikipedia.org/wiki/Biriani","",""
"http://www.wikidata.org/entity/Q4917275","biscuits and gravy","http://commons.wikimedia.org/wiki/Special:FilePath/Biscuits%20and%20sausage%20gravy%20%288006401964%29.jpg","https://en.wikipedia.org/wiki/Biscuits_and_gravy","",""
"http://www.wikidata.org/entity/Q3243732","bitter almond cookie","http://commons.wikimedia.org/wiki/Special:FilePath/Acibadem%20Kurabiyesi.jpg","https://en.wikipedia.org/wiki/Ac%C4%B1badem_kurabiyesi","http://www.wikidata.org/entity/Q43","Tyrkia"
"http://www.wikidata.org/entity/Q4835804","BK Chicken Fries","http://commons.wikimedia.org/wiki/Special:FilePath/BK%20Chicken%20Fries%20%282014%29.jpg","https://en.wikipedia.org/wiki/BK_Chicken_Fries","",""
"http://www.wikidata.org/entity/Q1539635","blåbærsuppe","http://commons.wikimedia.org/wiki/Special:FilePath/Bl%C3%A5b%C3%A4rssoppa.jpg","https://en.wikipedia.org/wiki/Bl%C3%A5b%C3%A4rssoppa","http://www.wikidata.org/entity/Q34","Sverige"
"http://www.wikidata.org/entity/Q888832","bobotie","http://commons.wikimedia.org/wiki/Special:FilePath/Bobotie-01.jpg","https://en.wikipedia.org/wiki/Bobotie","http://www.wikidata.org/entity/Q258","Sør-Afrika"
"http://www.wikidata.org/entity/Q952366","bocconotto","http://commons.wikimedia.org/wiki/Special:FilePath/Bocconotto%20from%20Castel%20Frentano.jpg","https://en.wikipedia.org/wiki/Bocconotto","http://www.wikidata.org/entity/Q38","Italia"
"http://www.wikidata.org/entity/Q20826672","boeber","http://commons.wikimedia.org/wiki/Special:FilePath/Boeber.jpg","https://en.wikipedia.org/wiki/Boeber","http://www.wikidata.org/entity/Q258","Sør-Afrika"
"http://www.wikidata.org/entity/Q61078926","boil-up","http://commons.wikimedia.org/wiki/Special:FilePath/Maori%20boil%20up.jpg","https://nn.wikipedia.org/wiki/Boil-up","",""
"http://www.wikidata.org/entity/Q97360429","Bolu kukus","http://commons.wikimedia.org/wiki/Special:FilePath/Wadai%20Kukus%20001.jpg","https://en.wikipedia.org/wiki/Bolu_kukus","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q893318","Borani","http://commons.wikimedia.org/wiki/Special:FilePath/Boran%C4%B1.jpg","https://en.wikipedia.org/wiki/Borani","http://www.wikidata.org/entity/Q794","Iran"
"http://www.wikidata.org/entity/Q20984265","bột chiên","http://commons.wikimedia.org/wiki/Special:FilePath/Botchien%20in%20Vietnam.jpg","https://en.wikipedia.org/wiki/B%C3%A1nh_b%E1%BB%99t_chi%C3%AAn","",""
"http://www.wikidata.org/entity/Q4197759","botok","http://commons.wikimedia.org/wiki/Special:FilePath/Bubur%20Lolos%20Botok%20Roti.jpg","https://en.wikipedia.org/wiki/Botok","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q828043","bouillabaisse","http://commons.wikimedia.org/wiki/Special:FilePath/Bullabessa.jpg","https://nn.wikipedia.org/wiki/Bouillabaisse","http://www.wikidata.org/entity/Q142","Frankrike"
"http://www.wikidata.org/entity/Q83143290","bourekas","http://commons.wikimedia.org/wiki/Special:FilePath/Bourekas.jpg","https://en.wikipedia.org/wiki/Bourekas","http://www.wikidata.org/entity/Q801","Israel"
"http://www.wikidata.org/entity/Q597921","brem","http://commons.wikimedia.org/wiki/Special:FilePath/Brem%20Madiun.JPG","https://en.wikipedia.org/wiki/Brem","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q53844640","Broodje gezond","http://commons.wikimedia.org/wiki/Special:FilePath/20220822%20Broodje%20gezond%20%28cropped%29.jpg","https://en.wikipedia.org/wiki/Broodje_gezond","",""
"http://www.wikidata.org/entity/Q56292893","brown shrimp as food","http://commons.wikimedia.org/wiki/Special:FilePath/Brown%20shrips%2C%202016%20%2801%20retouched%29.jpg","https://en.wikipedia.org/wiki/Brown_shrimp_as_food","",""
"http://www.wikidata.org/entity/Q1855212","Brussels waffle","http://commons.wikimedia.org/wiki/Special:FilePath/Waffle%20DSC00575.jpg","https://en.wikipedia.org/wiki/Brussels_waffle","http://www.wikidata.org/entity/Q31","Belgia"
"http://www.wikidata.org/entity/Q31740176","braai bread","http://commons.wikimedia.org/wiki/Special:FilePath/Braai%20broodjies.jpg","https://en.wikipedia.org/wiki/Braaibroodjie","http://www.wikidata.org/entity/Q258","Sør-Afrika"
"http://www.wikidata.org/entity/Q2527136","Bssisa","http://commons.wikimedia.org/wiki/Special:FilePath/Bsissa%20de%20Jerba%2C%20Tunisie%202013%20%28closeup%29.jpg","https://en.wikipedia.org/wiki/Bsisa","http://www.wikidata.org/entity/Q27381","Nord-Afrika"
"http://www.wikidata.org/entity/Q12512536","buah keluak","http://commons.wikimedia.org/wiki/Special:FilePath/Pangium%20edule%20Keluak.jpg","https://en.wikipedia.org/wiki/Keluak","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q4197962","bubur kacang hijau","http://commons.wikimedia.org/wiki/Special:FilePath/Bubur%20Kacang%20Hijau%20%28Sorba%29.jpg","https://en.wikipedia.org/wiki/Bubur_kacang_hijau","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q16773515","Bubur ketan hitam","http://commons.wikimedia.org/wiki/Special:FilePath/Bubur%20ketan%20hitam.jpg","https://en.wikipedia.org/wiki/Bubur_ketan_hitam","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q60754611","Buddha bowl","http://commons.wikimedia.org/wiki/Special:FilePath/BuddhaBowlLot.jpg","https://en.wikipedia.org/wiki/Buddha_bowl","",""
"http://www.wikidata.org/entity/Q2402333","Buddha's delight","http://commons.wikimedia.org/wiki/Special:FilePath/Boeddha%27s%20Delight.jpg","https://en.wikipedia.org/wiki/Buddha%27s_delight","http://www.wikidata.org/entity/Q148","Kina"
"http://www.wikidata.org/entity/Q1004735","Bulz","http://commons.wikimedia.org/wiki/Special:FilePath/Bulz%20cu%20ou.jpg","https://en.wikipedia.org/wiki/Bulz_(food)","",""
"http://www.wikidata.org/entity/Q50634","Bun cha","http://commons.wikimedia.org/wiki/Special:FilePath/B%C3%BAn%20ch%E1%BA%A3%20H%C3%A0ng%20M%C3%A0nh.jpg","https://en.wikipedia.org/wiki/Bun_cha","http://www.wikidata.org/entity/Q881","Vietnam"
"http://www.wikidata.org/entity/Q4997935","Buntil","http://commons.wikimedia.org/wiki/Special:FilePath/Buntil.jpg","https://en.wikipedia.org/wiki/Buntil","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q60761467","Burgo","http://commons.wikimedia.org/wiki/Special:FilePath/Burgo%201.jpg","https://en.wikipedia.org/wiki/Burgo_(food)","http://www.wikidata.org/entity/Q252","Indonesia"
