item,itemLabel,image,article,rankArticle,birthDate,sitelinks,pageviews,imageAuthor,imageLicense,imageLicenseUrl
"http://www.wikidata.org/entity/Q106099213","Andreas Schjelderup","http://commons.wikimedia.org/wiki/Special:FilePath/Andreas%20Schjelderup%20France%20v%20Norway%2026%20June%2026-111.jpg","https://nn.wikipedia.org/wiki/Andreas_Schjelderup","https://no.wikipedia.org/wiki/Andreas_Schjelderup","2004-06-01T00:00:00Z","38","6816","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q106171073","Andrey Santos","http://commons.wikimedia.org/wiki/Special:FilePath/Santos%20asse%20rcsa%202425.jpg","https://no.wikipedia.org/wiki/Andrey_Santos","https://no.wikipedia.org/wiki/Andrey_Santos","2004-05-03T00:00:00Z","33","881","Paté kroute","CC0","https://creativecommons.org/publicdomain/zero/1.0/deed.en"
"http://www.wikidata.org/entity/Q2652657","Andrine Hegerberg","http://commons.wikimedia.org/wiki/Special:FilePath/20180912%20UEFA%20Women%27s%20Champions%20League%202019%20SKN%20-%20PSG%20Andrine%20Hegerberg%20DSC%204704.jpg","https://nn.wikipedia.org/wiki/Andrine_Hegerberg","https://no.wikipedia.org/wiki/Andrine_Hegerberg","1993-06-06T00:00:00Z","15","1447","Granada","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q106805131","Anthony Elanga","http://commons.wikimedia.org/wiki/Special:FilePath/Anthony%20Elanga%20%28Sweden%20vs%20Moldova%2C%2012%20October%202023%29.jpg","https://no.wikipedia.org/wiki/Anthony_Elanga","https://no.wikipedia.org/wiki/Anthony_Elanga","2002-04-27T00:00:00Z","39","773","Amanda Aikioniemi","Public domain",""
"http://www.wikidata.org/entity/Q45179405","Anthony Gordon","http://commons.wikimedia.org/wiki/Special:FilePath/Anthony%20Gordon%20England%20v%20Ghana%2023%20June%202026-017%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Anthony_Gordon","https://no.wikipedia.org/wiki/Anthony_Gordon","2001-02-24T00:00:00Z","52","697","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q107357509","Antonio Nusa","http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Nusa%20Morocco%20v%20Norway%207%20June%202026-110%20%28cropped%29.jpg","https://nn.wikipedia.org/wiki/Antonio_Nusa","https://no.wikipedia.org/wiki/Antonio_Nusa","2005-04-17T00:00:00Z","35","7770","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q1800417","Arild Østbø","http://commons.wikimedia.org/wiki/Special:FilePath/Arild%20%C3%98stb%C3%B8%20%28Viking%20Stavanger%29%20-%20Norway%20national%20under-21%20football%20team%20%2801%29.jpg","https://no.wikipedia.org/wiki/Arild_%C3%98stb%C3%B8","https://no.wikipedia.org/wiki/Arild_%C3%98stb%C3%B8","1991-04-19T00:00:00Z","11","2107","Steindy ( talk ) 11:04, 1 April 2011 (UTC)","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q35314083","Aron Dønnum","http://commons.wikimedia.org/wiki/Special:FilePath/TFC-FC%20Metz%20%282023-10-01%29%20Aron%20D%C3%B8nnum%20%28cropped%29.jpg","https://nn.wikipedia.org/wiki/Aron_D%C3%B8nnum","https://no.wikipedia.org/wiki/Aron_D%C3%B8nnum","1998-04-20T00:00:00Z","15","2180","Gaillac","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q50768555","Aslak Fonn Witry","http://commons.wikimedia.org/wiki/Special:FilePath/Aslak%20Fonn%20Witry%20%28Djurg%C3%A5rden%2C%202020%2C%20cropped%29.jpg","https://no.wikipedia.org/wiki/Aslak_Fonn_Witry","https://no.wikipedia.org/wiki/Aslak_Fonn_Witry","1996-03-10T00:00:00Z","13","755","Jens Backeman","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q66973691","Aune Heggebø","http://commons.wikimedia.org/wiki/Special:FilePath/Krystian%20Bielik%20and%20Aune%20Heggeb%C3%B8%2004102025%20%281%29.jpg","https://nn.wikipedia.org/wiki/Aune_Heggeb%C3%B8","https://no.wikipedia.org/wiki/Aune_Heggeb%C3%B8","2001-07-29T00:00:00Z","11","1603","Timmy96","CC0","https://creativecommons.org/publicdomain/zero/1.0/deed.en"
"http://www.wikidata.org/entity/Q20641172","Birger Meling","http://commons.wikimedia.org/wiki/Special:FilePath/Rak%C3%B3w-Kopenhaga-%201%20%28Birger%20Meling%29.jpg","https://nn.wikipedia.org/wiki/Birger_Meling","https://no.wikipedia.org/wiki/Birger_Meling","1994-12-17T00:00:00Z","23","1016","Monisiolek","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q99670930","Bradley Barcola","http://commons.wikimedia.org/wiki/Special:FilePath/Bradley%20Barcola%20France%20v%20Spain%207.24.26-112%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Bradley_Barcola","https://no.wikipedia.org/wiki/Bradley_Barcola","2002-09-02T00:00:00Z","52","3637","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q4979316","Bruno Fernandes","http://commons.wikimedia.org/wiki/Special:FilePath/Bruno%20Fernandes%20USMNT%20v%20Portugal%20Mar%2031%202026-27%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Bruno_Fernandes","https://no.wikipedia.org/wiki/Bruno_Fernandes","1994-09-08T00:00:00Z","67","1265","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q58323172","Bruno Guimarães","http://commons.wikimedia.org/wiki/Special:FilePath/Bruno%20Guimaraes%20Brazil%20V%20Morocco%2013%20June%202026-78%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Bruno_Guimar%C3%A3es","https://no.wikipedia.org/wiki/Bruno_Guimar%C3%A3es","1997-11-16T00:00:00Z","49","2159","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q59306386","Bukayo Saka","http://commons.wikimedia.org/wiki/Special:FilePath/Bukayo%20Saka%20England%20v%20Ghana%2023%20June%202026-057%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Bukayo_Saka","https://no.wikipedia.org/wiki/Bukayo_Saka","2001-09-05T00:00:00Z","71","723","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q3370421","Bård Finne","http://commons.wikimedia.org/wiki/Special:FilePath/Empfang%20f%C3%BCr%20den%201.%20FC%20K%C3%B6ln%20im%20Rathaus-8841.jpg","https://nn.wikipedia.org/wiki/B%C3%A5rd_Finne","https://no.wikipedia.org/wiki/B%C3%A5rd_Finne","1995-02-13T00:00:00Z","18","1346","Raimond Spekking","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q113472432","Carlos Baleba","http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Baleba%202026.jpg","https://no.wikipedia.org/wiki/Carlos_Baleba","https://no.wikipedia.org/wiki/Carlos_Baleba","2004-01-03T00:00:00Z","30","1397","Timmy96","CC0","https://creativecommons.org/publicdomain/zero/1.0/deed.en"
"http://www.wikidata.org/entity/Q97741625","Celin Bizet Dønnum","http://commons.wikimedia.org/wiki/Special:FilePath/Celin%20Bizet.png","https://nn.wikipedia.org/wiki/Celin_Bizet_D%C3%B8nnum","https://no.wikipedia.org/wiki/Celin_Bizet_D%C3%B8nnum","2001-10-24T00:00:00Z","15","964","LHC88","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"
"http://www.wikidata.org/entity/Q294951","Christian Eriksen","http://commons.wikimedia.org/wiki/Special:FilePath/20140904%20-%20Christian%20Eriksen%20%28cropped%29.jpg","https://nn.wikipedia.org/wiki/Christian_Eriksen","https://no.wikipedia.org/wiki/Christian_Eriksen","1992-02-14T00:00:00Z","69","1105","Chris 0023 from Lyngby, Denmark","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"http://www.wikidata.org/entity/Q5109980","Christian Nørgaard","http://commons.wikimedia.org/wiki/Special:FilePath/Christian%20N%C3%B8rgaard%2C%20Brentford%20F.C.%20footballer%2C%20May%202022.jpg","https://no.wikipedia.org/wiki/Christian_N%C3%B8rgaard","https://no.wikipedia.org/wiki/Christian_N%C3%B8rgaard","1994-03-10T00:00:00Z","36","660","Ardfern","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q96182871","Christos Tzolis","http://commons.wikimedia.org/wiki/Special:FilePath/Sweden%20-%20Greece22%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Christos_Tzolis","https://no.wikipedia.org/wiki/Christos_Tzolis","2002-01-30T00:00:00Z","30","3838","Mikael Hervestad","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q28801927","Cody Gakpo","http://commons.wikimedia.org/wiki/Special:FilePath/Netherlands%20v%20Tunisia%202026%20World%20Cup%20-%2055373562032%20%28Cody%20Gakpo%29.jpg","https://no.wikipedia.org/wiki/Cody_Gakpo","https://no.wikipedia.org/wiki/Cody_Gakpo","1999-05-07T00:00:00Z","61","845","elisfkc3","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q11571","Cristiano Ronaldo","http://commons.wikimedia.org/wiki/Special:FilePath/Cristiano%20Ronaldo%20Croatia%20v%20Portugal%202%20July%202026-075%20%28cropped%29.jpg","https://nn.wikipedia.org/wiki/Cristiano_Ronaldo","https://no.wikipedia.org/wiki/Cristiano_Ronaldo","1985-02-05T00:00:00Z","215","8050","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q3275904","Damián Emiliano Martínez","http://commons.wikimedia.org/wiki/Special:FilePath/Emiliano%20Martinez%20Argentina%20v%20Spain%2019%20July%202026-269.jpg","https://no.wikipedia.org/wiki/Emiliano_Mart%C3%ADnez","https://no.wikipedia.org/wiki/Emiliano_Mart%C3%ADnez","1992-09-02T00:00:00Z","63","1416","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q19560313","Dani Olmo","http://commons.wikimedia.org/wiki/Special:FilePath/Dani%20Olmo%20France%20v%20Spain%207.24.26-176%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Dani_Olmo","https://no.wikipedia.org/wiki/Dani_Olmo","1998-05-07T00:00:00Z","61","625","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q620628","Daniel Fredheim Holm","http://commons.wikimedia.org/wiki/Special:FilePath/DFH%20%28cropped%29.jpg","https://nn.wikipedia.org/wiki/Daniel_Fredheim_Holm","https://no.wikipedia.org/wiki/Daniel_Fredheim_Holm","1985-07-30T00:00:00Z","13","632","Mr. Kjetil Ree","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q188457","Danny Welbeck","http://commons.wikimedia.org/wiki/Special:FilePath/Danny%20Welbeck%202018-06-13%201.jpg","https://nn.wikipedia.org/wiki/Danny_Welbeck","https://no.wikipedia.org/wiki/Danny_Welbeck","1990-11-26T00:00:00Z","64","1762","Кирилл Венедиктов","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q101095985","David Møller Wolfe","http://commons.wikimedia.org/wiki/Special:FilePath/David%20Moller%20Wolfe%20France%20v%20Norway%2026%20June%2026-017%20%28cropped%29.jpg","https://nn.wikipedia.org/wiki/David_M%C3%B8ller_Wolfe","https://no.wikipedia.org/wiki/David_M%C3%B8ller_Wolfe","2002-04-23T00:00:00Z","30","2937","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q19665907","David Raya","http://commons.wikimedia.org/wiki/Special:FilePath/David%20Raya%20Argentina%20v%20Spain%2019%20July%202026-003%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/David_Raya","https://no.wikipedia.org/wiki/David_Raya","1995-09-15T00:00:00Z","53","743","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q113883917","Dennis Gjengaar","http://commons.wikimedia.org/wiki/Special:FilePath/Dennis%20Gjengaar%20Red%20Bull%20Atlanta%205.31.25-18%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Dennis_Gjengaar","https://no.wikipedia.org/wiki/Dennis_Gjengaar","2004-02-24T00:00:00Z","8","1432","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q56222532","Djed Spence","http://commons.wikimedia.org/wiki/Special:FilePath/Djed%20Spence%20England%20v%20Ghana%2023%20June%202026-022.jpg","https://no.wikipedia.org/wiki/Djed_Spence","https://no.wikipedia.org/wiki/Djed_Spence","2000-08-09T00:00:00Z","35","678","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q30134278","Dominik Szoboszlai","http://commons.wikimedia.org/wiki/Special:FilePath/Dominik%20Szoboszlai%2004012026%20%281%29.jpg","https://no.wikipedia.org/wiki/Dominik_Szoboszlai","https://no.wikipedia.org/wiki/Dominik_Szoboszlai","2000-10-25T00:00:00Z","54","913","Timmy96","CC0","https://creativecommons.org/publicdomain/zero/1.0/deed.en"
"http://www.wikidata.org/entity/Q713895","Dušan Tadić","http://commons.wikimedia.org/wiki/Special:FilePath/Du%C5%A1an%20Tadi%C4%87%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Du%C5%A1an_Tadi%C4%87","https://no.wikipedia.org/wiki/Du%C5%A1an_Tadi%C4%87","1988-11-20T00:00:00Z","49","1181","Екатерина Лаут","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q113131375","Edvin Austbø","http://commons.wikimedia.org/wiki/Special:FilePath/Edvin%20Austb%C3%B8%2017%20Viking%20FK%20UECL%2020250813%20%284%29.jpg","https://no.wikipedia.org/wiki/Edvin_Austb%C3%B8","https://no.wikipedia.org/wiki/Edvin_Austb%C3%B8","2005-05-01T00:00:00Z","8","4580","Zafer","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"
"http://www.wikidata.org/entity/Q62617279","Egil Selvik","http://commons.wikimedia.org/wiki/Special:FilePath/Norway%20Italy%20-%20June%202025%20A%2007%20%28cropped%29.jpg","https://nn.wikipedia.org/wiki/Egil_Selvik","https://no.wikipedia.org/wiki/Egil_Selvik","1997-07-30T00:00:00Z","20","1696","MichaelEmilio","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"
"http://www.wikidata.org/entity/Q139800","Elba Rashani","http://commons.wikimedia.org/wiki/Special:FilePath/Testspiel%20RB%20Salzburg%20Rosenborg%20Trondheim%20%285.%20Februar%202017%29%2047.jpg","https://no.wikipedia.org/wiki/Elba_Rashani","https://no.wikipedia.org/wiki/Elba_Rashani","1993-05-09T00:00:00Z","19","1716","Werner100359","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q104762954","Elliot Anderson","http://commons.wikimedia.org/wiki/Special:FilePath/Elliot%20Anderson%20England%20v%20Ghana%2023%20June%202026-059%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Elliot_Anderson","https://no.wikipedia.org/wiki/Elliot_Anderson","2002-11-06T00:00:00Z","43","677","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q96105248","Enzo Jeremías Fernández","http://commons.wikimedia.org/wiki/Special:FilePath/Enzo%20Fernandez%20Argentina%20v%20Spain%2019%20July%202026-050%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Enzo_Fern%C3%A1ndez","https://no.wikipedia.org/wiki/Enzo_Fern%C3%A1ndez","2001-01-17T00:00:00Z","59","2863","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q28718331","Erik Botheim","http://commons.wikimedia.org/wiki/Special:FilePath/Erik%20Botheim%202021%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Erik_Botheim","https://no.wikipedia.org/wiki/Erik_Botheim","2000-01-10T00:00:00Z","17","16002","Jørn Sund-Henriksen","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q29349208","Erik Tobias Sandberg","http://commons.wikimedia.org/wiki/Special:FilePath/Erik%20Tobias%20Tangen%20Sandberg%20IMG%205201.jpg","https://no.wikipedia.org/wiki/Erik_Tobias_Sandberg","https://no.wikipedia.org/wiki/Erik_Tobias_Sandberg","2000-02-27T00:00:00Z","6","1144","Kristoffer Sørdal","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q28967995","Erling Braut Haaland","http://commons.wikimedia.org/wiki/Special:FilePath/Erling%20Haaland%20France%20v%20Norway%2026%20June%2026-008.jpg","https://nn.wikipedia.org/wiki/Erling_Braut_Haaland","https://no.wikipedia.org/wiki/Erling_Braut_Haaland","2000-07-21T00:00:00Z","97","25644","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q2630956","Even Hovland","http://commons.wikimedia.org/wiki/Special:FilePath/Even%20Hovland%202014.jpg","https://nn.wikipedia.org/wiki/Even_Hovland","https://no.wikipedia.org/wiki/Even_Hovland","1989-02-14T00:00:00Z","21","752","Jarlhelm","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q27063854","Ezri Konsa","http://commons.wikimedia.org/wiki/Special:FilePath/Ezri%20Konsa%20England%20v%20Panama%2027%20June%2026-259%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Ezri_Konsa","https://no.wikipedia.org/wiki/Ezri_Konsa","1997-10-23T00:00:00Z","42","2050","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q29347681","Felix Horn Myhre","http://commons.wikimedia.org/wiki/Special:FilePath/Felix%20Horn%20Myhre.jpg","https://nn.wikipedia.org/wiki/Felix_Horn_Myhre","https://no.wikipedia.org/wiki/Felix_Horn_Myhre","1999-03-04T00:00:00Z","13","4870","Løken","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q44297797","Ferran Torres","http://commons.wikimedia.org/wiki/Special:FilePath/Ferran%20Torres%20France%20v%20Spain%207.24.26-237%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Ferran_Torres","https://no.wikipedia.org/wiki/Ferran_Torres","2000-02-29T00:00:00Z","66","2277","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q101035007","Folarin Balogun","http://commons.wikimedia.org/wiki/Special:FilePath/Folarin%20Balogun%20Australia%20v%20USA%2019%20June%202026-64.jpg","https://no.wikipedia.org/wiki/Folarin_Balogun","https://no.wikipedia.org/wiki/Folarin_Balogun","2001-07-03T00:00:00Z","46","773","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q24007315","Fredrik André Bjørkan","http://commons.wikimedia.org/wiki/Special:FilePath/Fredrik%20Andr%C3%A9%20Bj%C3%B8rkan%20Morocco%20v%20Norway%207%20June%202026-40%20%28cropped%29.jpg","https://nn.wikipedia.org/wiki/Fredrik_Bj%C3%B8rkan","https://no.wikipedia.org/wiki/Fredrik_Bj%C3%B8rkan","1998-08-21T00:00:00Z","29","1322","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q20090180","Fredrik Aursnes","http://commons.wikimedia.org/wiki/Special:FilePath/Fredrik%20Aursnes%20France%20v%20Norway%2026%20June%2026-148.jpg","https://nn.wikipedia.org/wiki/Fredrik_Aursnes","https://no.wikipedia.org/wiki/Fredrik_Aursnes","1995-12-10T00:00:00Z","32","1570","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q3431079","Fredrik Gulbrandsen","http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Admira%20Wacker%20M%C3%B6dling%20vs.%20FC%20Red%20Bull%20Salzburg%202018-04-15%20%28064%29.jpg","https://nn.wikipedia.org/wiki/Fredrik_Gulbrandsen","https://no.wikipedia.org/wiki/Fredrik_Gulbrandsen","1992-09-10T00:00:00Z","22","1924","Steindy ( talk ) 21:12, 28 August 2018 (UTC)","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q19708656","Gabriel Jesus","http://commons.wikimedia.org/wiki/Special:FilePath/20180610%20FIFA%20Friendly%20Match%20Austria%20vs.%20Brazil%20Gabriel%20Jesus%20850%201688.jpg","https://no.wikipedia.org/wiki/Gabriel_Jesus","https://no.wikipedia.org/wiki/Gabriel_Jesus","1997-04-03T00:00:00Z","59","930","Granada","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q61460651","Gabriel Martinelli","http://commons.wikimedia.org/wiki/Special:FilePath/Gabriel%20Martinelli%20Brazil%20V%20Morocco%2013%20June%202026-144.jpg","https://no.wikipedia.org/wiki/Gabriel_Martinelli","https://no.wikipedia.org/wiki/Gabriel_Martinelli","2001-06-18T00:00:00Z","54","689","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q20830808","Gianluigi Donnarumma","http://commons.wikimedia.org/wiki/Special:FilePath/Norway%20Italy%20-%20June%202025%20B%2033%20-%20Gianluigi%20Donnarumma%20%28close-up%29.jpg","https://nn.wikipedia.org/wiki/Gianluigi_Donnarumma","https://no.wikipedia.org/wiki/Gianluigi_Donnarumma","1999-02-25T00:00:00Z","65","1335","Original: MichaelEmilio / Derivative work: Danyele","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"
"http://www.wikidata.org/entity/Q514427","Granit Xhaka","http://commons.wikimedia.org/wiki/Special:FilePath/Granit%20Xhaka%20%28cropped%29.jpg","https://nn.wikipedia.org/wiki/Granit_Xhaka","https://no.wikipedia.org/wiki/Granit_Xhaka","1992-09-27T00:00:00Z","61","686","@cfcunofficial (Chelsea Debs) London from London, UK","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
